,ID,Policy Start Date,Policy End Date,Gender,Age,First Transaction Date,No_Pol,Car_Category,Subject_Car_Colour,Subject_Car_Make,LGA_Name,State,ProductName,target,Mirage
6554,ID_JK6BVVK,2010-07-16,2011-07-15,Male,28.0,2010-07-16,2,Saloon,Black,TOYOTA,Lekki,Lagos,Car Plus,1,1
6559,ID_JKPR8IL,2010-07-18,2011-07-17,Male,20.0,2010-07-18,2,JEEP,Black,Lexus,Lagos,Lagos,Car Classic,0,1
6560,ID_JKS3M9X,2010-04-29,2011-04-28,Female,58.0,2010-04-29,3,Saloon,Black,Mercedes,Ikeja,Lagos,Car Classic,0,1
6567,ID_JLG3MGY,2010-06-04,2011-06-03,Male,27.0,2010-06-04,3,Saloon,Black,TOYOTA,Ipaja,Lagos,Car Classic,1,1
6573,ID_JM9F4MO,2010-01-26,2011-01-25,Male,41.0,2010-01-26,1,Saloon,Silver,TOYOTA,Yaba,Benue,Car Classic,0,0
6579,ID_JMV6HDJ,2010-01-14,2011-01-13,Female,57.0,2010-01-14,1,JEEP,Black,Ford,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0,1
6581,ID_JN3DF2A,2010-02-18,2011-02-17,Male,52.0,2010-02-18,4,JEEP,Black,Mercedes,Victoria Island,Lagos,Customized Motor,1,1
6586,ID_JNFL48O,2010-08-18,2011-08-17,Male,34.0,2010-08-18,1,Saloon,Blue,TOYOTA,Kosofe,Benue,Car Classic,0,0
6587,ID_JNJ1XJ5,2010-08-21,2011-08-20,Female,50.0,2010-08-21,2,Saloon,Grey,TOYOTA,Surulere,Lagos,Customized Motor,0,1
6594,ID_JP3XIZ6,2010-07-11,2011-07-10,Male,40.0,2010-07-11,1,Saloon,Grey,Kia,Lagos Mainland,Lagos,Car Classic,0,1
6596,ID_JPG2EG0,2010-07-01,2011-06-30,Male,27.0,2010-07-01,1,Saloon,Red,TOYOTA,Lekki,Lagos,Car Plus,0,0
6599,ID_JPO4M7W,2010-01-17,2011-01-16,Female,34.0,2010-01-17,1,Saloon,Grey,TOYOTA,Amuwo-Odofin,Amuwo-Odofin,Car Classic,1,1
6602,ID_JPTT9IW,2010-07-30,2011-07-29,Male,75.0,2010-07-30,2,Saloon,Black,Mercedes,Ikeja,Lagos,Car Classic,1,1
6603,ID_JPVXI6Z,2010-03-30,2011-03-29,Male,34.0,2010-03-30,3,Saloon,Silver,TOYOTA,Oshodi-Isolo,Oshodi-Isolo,Car Classic,0,0
6606,ID_JQGYDIK,2010-04-02,2011-04-01,Male,73.0,2010-04-02,1,Saloon,Black,TOYOTA,Ibadan South West,Ibadan-West,Car Classic,0,1
6607,ID_JQJHBH2,2010-01-04,2011-01-03,Male,41.0,2010-01-04,1,JEEP,Brown,TOYOTA,GBAGADA,Benue,Car Classic,0,0
6614,ID_JR8TN6B,2010-01-04,2011-01-03,Male,44.0,2010-01-04,1,Saloon,Wine,TOYOTA,Yaba,Benue,Car Classic,0,0
6619,ID_JSDWWIZ,2010-08-02,2011-02-02,Male,34.0,2010-08-02,1,Saloon,Grey,TOYOTA,OGUN,Ogun,CarFlex,0,1
6623,ID_JSTFNXU,2010-09-30,2011-09-29,Male,47.0,2010-09-30,2,Saloon,Green,TOYOTA,Obia/Akpor,Obia-Akpor,Car Classic,0,0
6627,ID_JT55YW5,2010-04-16,2011-04-15,Male,59.0,2010-04-16,2,JEEP,Black,Nissan,Oyo,Oyo,Customized Motor,0,1
6635,ID_JUEA41A,2010-05-10,2011-05-09,Female,34.0,2010-05-10,1,Saloon,Grey,TOYOTA,Surulere,Lagos,Car Classic,1,1
6641,ID_JVR1E5Q,2010-03-29,2011-03-28,Male,38.0,2010-03-29,1,JEEP,Black,Hyundai,Lagos Mainland,Lagos,Car Classic,0,1
6643,ID_JVY0DKR,2010-04-05,2011-04-03,Male,50.0,2010-04-05,1,JEEP,Light Blue,TOYOTA,Ilupeju,Lagos,Car Classic,0,0
6644,ID_JVZ2BLP,2010-10-24,2011-10-23,Male,48.0,2010-10-24,2,Saloon,Gold,TOYOTA,Surulere,Lagos,Car Classic,0,0
6647,ID_JWD2T9V,2010-01-03,2011-01-02,Male,38.0,2010-01-03,2,Saloon,Silver,Nissan,OJOTA,Benue,Car Classic,1,0
6650,ID_JWJT4RF,2010-08-19,2011-08-18,Male,50.0,2010-08-19,2,Saloon,Black,TOYOTA,Ikeja,Lagos,Car Classic,0,1
6652,ID_JWXJXBQ,2010-05-17,2011-05-16,Female,30.0,2010-05-17,1,Bus,Grey,TOYOTA,Abuja,Abuja,CVTP,0,1
6653,ID_JXFWKCX,2010-03-07,2011-03-05,Joint Gender,58.0,2010-03-07,2,Saloon,Black,Lexus,Abuja Municipal,Abuja-Municipal,Car Classic,1,1
6676,ID_K0HQT84,2010-05-02,2011-04-28,Male,35.0,2010-05-02,1,JEEP,Black,Lexus,Ikeja,Lagos,Car Classic,0,1
6684,ID_K1KS34X,2010-02-27,2011-02-26,Male,40.0,2010-02-27,1,JEEP,Red,Lexus,Uyo,Akwa-Ibom,Car Classic,0,0
6689,ID_K2M4FHP,2010-04-27,2011-04-26,Male,50.0,2010-04-27,2,Saloon,Black,TOYOTA,Ikeja,Lagos,Car Classic,0,1
6691,ID_K33JHOA,2010-04-03,2011-04-02,Male,40.0,2010-04-03,1,JEEP,Black,TOYOTA,Ikeja,Lagos,Car Classic,0,1
6692,ID_K38B0C4,2010-05-23,2011-05-22,Female,48.0,2010-05-23,2,JEEP,Black,Kia,Amuwo-Odofin,Amuwo-Odofin,Car Classic,0,1
6697,ID_K3LUBCN,2010-12-14,2011-12-13,Male,64.0,2010-12-14,1,JEEP,Black,Mitsubishi,Alimosho,Lagos,Car Plus,0,1
6712,ID_K50EGKX,2010-03-29,2011-03-28,Male,44.0,2010-03-29,1,JEEP,Black,Lexus,Eti-Osa,Eti-Osa,Car Classic,0,1
6716,ID_K577DNJ,2010-08-13,2011-08-03,Male,43.0,2010-08-13,1,Truck,White,Scania,Victoria Island,Lagos,CVTP,1,1
6717,ID_K5AY4MS,2010-12-10,2011-12-09,Male,32.0,2010-12-10,1,JEEP,Silver,TOYOTA,Surulere,Lagos,Car Classic,0,0
6731,ID_K74YS2A,2010-05-07,2011-05-06,Male,32.0,2010-05-07,1,JEEP,Silver,Lexus,Ikeja,Lagos,Car Plus,0,0
6733,ID_K7DWO4B,2010-05-19,2011-05-18,Joint Gender,20.0,2010-05-19,2,Saloon,Black,Kia,Lagos,Lagos,Customized Motor,0,1
6734,ID_K7ID80G,2010-04-29,2011-04-14,Joint Gender,44.0,2010-04-29,1,JEEP,Black,TOYOTA,Lagos Mainland,Lagos,Car Classic,1,1
6751,ID_K8UHZ9D,2010-07-08,2011-05-31,Male,42.0,2010-07-08,1,JEEP,Green,Hyundai,Ilasamaja,Lagos,Car Classic,1,0
6756,ID_K9EJC7C,2010-03-11,2011-03-10,Male,39.0,2010-03-11,1,Saloon,Red,TOYOTA,Ilorin,Kwara,Car Classic,0,0
6758,ID_K9LLZEE,2010-06-10,2011-05-21,Female,45.0,2010-06-10,2,JEEP,Black,TOYOTA,Esan Central,Esan-Central,Car Classic,0,1
6762,ID_K9RZXTT,2010-05-31,2011-05-30,Female,53.0,2010-05-31,1,Saloon,Black,Honda,Olorunsogo,Benue,Car Classic,0,1
6768,ID_KACX80J,2010-08-01,2011-01-31,Male,34.0,2010-08-01,1,JEEP,Gold,Lexus,Oshodi-Isolo,Oshodi-Isolo,Car Classic,0,0
6776,ID_KBAVVPC,2010-08-13,2011-07-29,Male,42.0,2010-08-13,1,Truck,Yellow,Iveco,Abeokuta,Ogun,CVTP,0,0
6777,ID_KBLAH4M,2010-12-23,2011-02-21,Male,20.0,2010-12-23,4,JEEP,Grey,Mercedes,Victoria Island,Lagos,Customized Motor,0,1
6790,ID_KDPP0K7,2010-09-10,2011-09-09,Female,53.0,2010-09-10,1,Saloon,Grey,TOYOTA,Olorunsogo,Benue,Car Classic,1,1
6799,ID_KE5GS1G,2010-01-17,2011-01-16,Female,34.0,2010-01-17,1,Saloon,Grey,TOYOTA,Amuwo-Odofin,Amuwo-Odofin,Car Classic,0,1
6809,ID_KFW8OXW,2010-01-23,2011-01-22,Female,40.0,2010-01-23,1,JEEP,Grey,TOYOTA,Akure,Ondo,Car Classic,0,1
6815,ID_KG9K22T,2010-06-17,2011-06-16,Male,39.0,2010-06-17,1,Truck,White,Iveco,Victoria Island,Lagos,CVTP,1,1
6826,ID_KH61ORI,2010-01-25,2011-01-14,Male,31.0,2010-01-25,1,Saloon,Grey,Honda,Ikorodu,Lagos,Car Classic,0,1
6829,ID_KHD2D9K,2010-03-12,2011-03-11,Joint Gender,44.0,2010-03-12,1,Saloon,Grey,Volkswagen,Ethiope East,Ethiope-East,Car Classic,0,1
6830,ID_KHKWXS2,2010-05-27,2011-05-26,Male,31.0,2010-05-27,1,JEEP,Black,Lexus,Benin,Edo,Car Plus,0,1
6837,ID_KI5BOX8,2010-02-08,2011-02-07,Female,40.0,2010-02-08,1,JEEP,Brown,Mitsubishi,Eti-Osa,Eti-Osa,Car Classic,0,0
6839,ID_KI6FZQR,2010-04-30,2011-04-29,Male,42.0,2010-04-30,1,Saloon,Red,TOYOTA,Ojo,Benue,Car Classic,0,0
6842,ID_KIC5S44,2010-07-04,2011-07-03,Male,33.0,2010-07-04,1,Saloon,Silver,TOYOTA,Lagos Island,Lagos,Car Classic,0,0
6857,ID_KK0N5TN,2010-02-13,2011-02-12,Male,45.0,2010-02-13,1,Saloon,Black,Honda,Niger State,Niger-State,Car Plus,0,1
6859,ID_KK4CH5T,2010-07-18,2011-07-17,Male,53.0,2010-07-18,1,Saloon,Grey,TOYOTA,Ikeja,Lagos,Car Classic,0,1
6862,ID_KKC8IDG,2010-03-26,2011-03-25,Female,56.0,2010-03-26,1,JEEP,Silver,Nissan,Lagos Mainland,Lagos,Car Classic,0,0
6867,ID_KKO281J,2010-04-05,2011-04-04,Male,38.0,2010-04-05,2,Saloon,Red,TOYOTA,Awka South,Awka-South,Car Classic,0,0
6868,ID_KKRS696,2010-04-04,2011-04-03,Male,64.0,2010-04-04,1,JEEP,Silver,Lexus,Lagos Island,Lagos,Car Classic,0,0
6871,ID_KL0JX1A,2010-02-05,2011-02-04,Male,69.0,2010-02-05,2,JEEP,Ash,Ford,Oredo,Benue,Car Classic,1,0
6873,ID_KL4NPX2,2010-11-21,2011-11-20,Male,48.0,2010-11-21,3,JEEP,Black,TOYOTA,Victoria Island,Lagos,Car Classic,0,1
6877,ID_KLJC1ST,2010-04-04,2011-04-03,Female,40.0,2010-04-04,2,Saloon,Black,TOYOTA,Abuja Municipal,Abuja-Municipal,Car Plus,0,1
6883,ID_KMHBG0W,2010-02-15,2011-02-14,Female,73.0,2010-02-15,3,JEEP,Black,TOYOTA,Lekki,Lagos,Car Classic,0,1
6884,ID_KMN3HAC,2010-12-20,2011-12-19,Male,63.0,2010-12-20,1,JEEP,Black,Infiniti,Lagos Island,Lagos,Car Classic,0,1
6888,ID_KN2NU64,2010-05-16,2011-05-15,Male,56.0,2010-05-16,3,JEEP,Black,Volvo,Surulere,Lagos,Car Classic,0,1
6891,ID_KNBMJ9M,2010-04-25,2011-04-24,Male,42.0,2010-04-25,2,JEEP,Ash,TOYOTA,Ikeja,Lagos,Car Classic,0,0
6892,ID_KNDU7UW,2010-01-28,2011-01-27,Female,33.0,2010-01-28,1,Saloon,Ash,TOYOTA,Lagos Mainland,Lagos,Car Classic,0,0
6895,ID_KO05UGY,2010-02-27,2011-02-08,Female,78.0,2010-02-27,2,Saloon,Black,TOYOTA,QuaAn Pan,QuaAn-Pan,Car Classic,0,1
6896,ID_KO2ST7Y,2010-02-13,2011-01-13,Male,72.0,2010-02-13,2,Saloon,Green,TOYOTA,Oredo,Benue,Car Classic,0,0
6906,ID_KP66XBR,2010-06-19,2011-03-18,Male,39.0,2010-06-19,1,JEEP,Black,TOYOTA,RIVERS,Rivers,Car Classic,0,1
6908,ID_KPRY4WR,2010-08-21,2011-08-20,Male,40.0,2010-08-21,1,Saloon,Black,Lexus,Kosofe,Benue,Car Classic,0,1
6917,ID_KRFLCAB,2009-09-13,2011-09-12,Male,62.0,2009-09-13,2,JEEP,Black,TOYOTA,Surulere,Lagos,Car Classic,1,1
6922,ID_KRRFVE3,2010-03-06,2011-03-05,Female,59.0,2010-03-06,1,Saloon,Black,TOYOTA,Yaba,Benue,Car Classic,1,1
6925,ID_KS8DKVM,2010-06-10,2011-06-09,Female,35.0,2010-06-10,2,JEEP,White,Ford,Surulere,Lagos,Car Classic,1,1
6926,ID_KS96SRH,2010-04-12,2011-01-02,Joint Gender,47.0,2010-04-12,2,Saloon,Ash,Mercedes,Lagos Island,Lagos,Customized Motor,0,0
6929,ID_KSG67NK,2010-03-01,2011-02-28,Female,33.0,2010-03-01,1,Saloon,Grey,TOYOTA,Ikeja,Lagos,Car Classic,1,1
6932,ID_KT4UYI2,2010-05-21,2011-05-20,Male,55.0,2010-05-21,3,JEEP,Black,Lexus,Victoria Island,Lagos,Customized Motor,0,1
6943,ID_KU677CU,2010-01-07,2011-01-06,Male,43.0,2010-01-07,2,Saloon,Grey,TOYOTA,Festac,Benue,Car Classic,0,1
6949,ID_KUIJJHT,2010-08-28,2011-08-27,Male,66.0,2010-08-28,3,Saloon,Gray & Silver,Honda,Eti-Osa,Eti-Osa,Car Classic,0,1
6954,ID_KUXI9QF,2010-02-14,2011-02-13,Female,47.0,2010-02-14,1,Saloon,Silver,TOYOTA,Ikotun,Benue,Car Classic,0,0
6957,ID_KV6SXTM,2010-03-27,2011-03-21,Female,45.0,2010-03-27,1,Saloon,Grey,TOYOTA,SANGO OTTA,Ogun,Car Classic,0,1
6958,ID_KVAIXGU,2010-01-30,2011-01-29,Male,71.0,2010-01-30,1,JEEP,Black,Honda,IbadanCentral,Benue,Car Classic,0,1
6960,ID_KVOCXA5,2010-04-17,2011-04-16,Male,37.0,2010-04-17,1,Saloon,Black,Mercedes,Oshodi-Isolo,Oshodi-Isolo,Car Classic,0,1
6961,ID_KVOWW69,2010-03-11,2011-03-10,Male,37.0,2010-03-11,4,Saloon,Black,Volkswagen,Isolo,Benue,Car Plus,0,1
6962,ID_KVUUL8I,2010-06-25,2011-05-14,Male,34.0,2010-06-25,1,Saloon,Black,TOYOTA,Victoria Island,Lagos,Car Classic,0,1
6973,ID_KXB1QRA,2010-12-18,2011-12-17,Male,34.0,2010-12-18,1,JEEP,Grey,TOYOTA,Yaba,Benue,Car Classic,0,1
6975,ID_KXKUDBZ,2010-08-21,2011-08-20,Female,38.0,2010-08-21,1,JEEP,Blue,TOYOTA,Abuja,Abuja,Car Classic,0,0
6982,ID_KXXXRBC,2010-11-01,2011-10-31,Male,37.0,2010-11-01,1,Saloon,Black,Honda,Alagbado,Lagos,Car Plus,0,1
6983,ID_KXYONRA,2010-01-02,2011-01-01,Female,36.0,2010-01-02,1,Saloon,Silver,Nissan,Lagos,Lagos,Customized Motor,0,0
6989,ID_KYKGINU,2010-05-31,2011-05-30,Male,60.0,2010-05-31,4,JEEP,Black,Honda,Akoka,Lagos,Customized Motor,0,1
6994,ID_KYXWZFN,2010-11-09,2011-11-08,Male,43.0,2010-11-09,1,Saloon,Grey,TOYOTA,Ikorodu,Lagos,Car Classic,0,1
6997,ID_KZ7EHAI,2010-11-20,2011-11-19,Male,57.0,2010-11-20,2,Saloon,Black,TOYOTA,Badagry,Benue,Car Classic,0,1
7001,ID_KZGIBO1,2010-05-14,2011-05-13,Female,32.0,2010-05-14,1,Saloon,Red,TOYOTA,Ikeja,Lagos,Car Classic,0,0
7002,ID_KZI1CRG,2010-05-20,2011-05-19,Male,45.0,2010-05-20,3,Saloon,Black,TOYOTA,Eti-Osa,Eti-Osa,Car Classic,1,1
7005,ID_L00MLOO,2010-07-23,2011-01-24,Male,38.0,2010-07-23,1,Saloon,Black,TOYOTA,Yaba,Benue,Car Classic,0,1
7006,ID_L00OTPB,2010-10-13,2011-10-12,Male,50.0,2010-10-13,3,JEEP,Black,TOYOTA,Surulere,Lagos,Customized Motor,0,1
7009,ID_L038DPA,2010-06-18,2011-06-17,Male,42.0,2010-06-18,1,Saloon,Silver,TOYOTA,Lekki,Lagos,Car Classic,0,0
7010,ID_L03Y3KG,2010-07-18,2011-07-17,Female,36.0,2010-07-18,1,Saloon,Black,TOYOTA,Surulere,Lagos,Car Classic,1,1
7011,ID_L0QMPC0,2010-12-10,2011-12-09,Male,37.0,2010-12-10,1,Saloon,Blue,TOYOTA,Oshodi,Lagos,Car Classic,0,0
7012,ID_L0RVHDZ,2010-04-24,2011-04-23,Female,34.0,2010-04-24,1,Saloon,Green,Kia,Ibeju/Lekki,Ibeju-Lekki,Car Plus,0,0
7014,ID_L0TIEVS,2010-07-04,2011-07-03,Female,55.0,2010-07-04,1,JEEP,Green,Kia,Shagamu,Ogun,Car Classic,0,0
7022,ID_L1INLDC,2010-05-27,2011-05-26,Male,46.0,2010-05-27,3,JEEP,Grey,Ford,Lagos,Lagos,Customized Motor,0,1
7025,ID_L27QV6P,2010-06-14,2011-06-13,Male,50.0,2010-06-14,1,Saloon,Black,TOYOTA,Lagos Mainland,Lagos,Car Classic,0,1
7029,ID_L2RRHM4,2010-05-31,2011-05-30,Male,34.0,2010-05-31,1,JEEP,Black,Mercedes,OGUN,Ogun,Car Plus,0,1
7035,ID_L38MVNR,2010-08-22,2011-08-21,Male,40.0,2010-08-22,2,Saloon,Silver,Honda,Warri North,Warri-North,Car Classic,0,0
7037,ID_L3CBWEK,2010-03-05,2011-03-04,Male,53.0,2010-03-05,2,JEEP,Black,ACURA,Surulere,Lagos,Car Classic,1,1
7051,ID_L4P0WOU,2010-01-04,2011-01-03,Male,28.0,2010-01-04,2,Saloon,Red,TOYOTA,Lekki,Lagos,Car Classic,1,0
7053,ID_L4W1LU1,2010-01-17,2011-01-16,Male,42.0,2010-01-17,3,Saloon,Blue,Nissan,Abeokuta,Ogun,Car Classic,0,0
7054,ID_L4YZCE6,2010-12-23,2011-03-22,Male,43.0,2010-12-23,1,JEEP,Grey,Lexus,Oshodi-Isolo,Oshodi-Isolo,Car Classic,1,1
7060,ID_L5DBIVH,2010-07-04,2011-07-03,Male,34.0,2010-07-04,2,Saloon,Blue,TOYOTA,Ikorodu,Lagos,Car Classic,1,0
7065,ID_L5XFXI2,2010-08-03,2011-04-02,Female,37.0,2010-08-03,1,Saloon,Silver,TOYOTA,Lagos Mainland,Lagos,Car Classic,0,0
7066,ID_L5Y5F6U,2010-10-07,2011-02-02,Male,40.0,2010-10-07,1,Saloon,Green,TOYOTA,Lagos Island,Lagos,Car Classic,0,0
7068,ID_L6APC0K,2010-07-22,2011-01-20,Female,42.0,2010-07-22,1,Saloon,Silver,TOYOTA,Eti-Osa,Eti-Osa,Car Classic,0,0
7069,ID_L6J87MT,2010-04-01,2011-03-31,Female,43.0,2010-04-01,1,Saloon,Black,Lexus,Lekki,Lagos,Car Classic,0,1
7070,ID_L6N7N25,2010-11-25,2011-11-20,Male,33.0,2010-11-25,1,JEEP,Black,Lexus,Victoria Island,Lagos,Car Classic,0,1
7076,ID_L7CDZE6,2010-11-20,2011-11-19,Female,79.0,2010-11-20,1,Saloon,Grey,TOYOTA,Akuku Toru,Rivers,Car Classic,0,1
7085,ID_L7XNR7Z,2010-10-03,2011-08-01,Female,41.0,2010-10-03,1,JEEP,Ash,TOYOTA,OGUN,Ogun,Car Classic,0,0
7098,ID_LA50JV6,2010-04-30,2011-04-21,Male,71.0,2010-04-30,1,JEEP,White,TOYOTA,Ado-Ekiti,Ado-Ekiti,Car Classic,0,1
7099,ID_LA6CKZK,2010-05-13,2011-05-12,Female,32.0,2010-05-13,1,Saloon,Blue,TOYOTA,Ipaja,Lagos,Car Classic,0,0
7104,ID_LAEGQJ4,2010-02-21,2011-02-20,Male,52.0,2010-02-21,1,JEEP,Black,TOYOTA,Ikoyi,Lagos,Car Classic,1,1
7139,ID_LEG89ZR,2010-08-16,2011-08-14,Male,35.0,2010-08-16,2,Saloon,Black,TOYOTA,Abuja Municipal,Abuja-Municipal,Car Plus,0,1
7143,ID_LETGNFY,2010-01-31,2011-01-05,Male,40.0,2010-01-31,1,Saloon,Black,TOYOTA,Lagos Mainland,Lagos,Car Classic,0,1
7151,ID_LFKJSMP,2010-12-06,2011-06-05,Female,37.0,2010-12-06,1,JEEP,Black,Lexus,Eti-Osa,Eti-Osa,Car Classic,0,1
7162,ID_LGTJGI3,2010-09-28,2011-09-27,Female,55.0,2010-09-28,2,JEEP,Black,GAC,Lekki,Lagos,Car Classic,0,1
7164,ID_LGWY4WR,2010-06-14,2011-06-13,Male,43.0,2010-06-14,1,Saloon,Grey,TOYOTA,Victoria Island,Lagos,Car Classic,0,1
7165,ID_LH21WHW,2010-06-12,2011-06-11,Male,50.0,2010-06-12,1,JEEP,Brown,Mercedes,Victoria Island,Lagos,Car Classic,0,0
7167,ID_LHF8JUL,2010-04-25,2011-04-24,Male,35.0,2010-04-25,3,Saloon,Red,TOYOTA,Oshodi-Isolo,Oshodi-Isolo,Car Classic,0,0
7170,ID_LHUGYP4,2010-09-03,2011-09-02,Male,48.0,2010-09-03,1,JEEP,Black,Hyundai,Eti-Osa,Eti-Osa,Car Classic,0,1
7176,ID_LIJHZ9S,2010-05-17,2011-05-16,Female,29.0,2010-05-17,1,Saloon,Silver,TOYOTA,Victoria Island,Lagos,Car Classic,0,0
7185,ID_LJRPNZG,2010-05-16,2011-05-15,Male,50.0,2010-05-16,2,JEEP,Grey,Honda,Ifo,Benue,Car Classic,0,1
7188,ID_LJX0BJR,2010-02-13,2011-02-12,Male,35.0,2010-02-13,1,Saloon,Black,TOYOTA,Ojo,Benue,Car Classic,1,1
7196,ID_LKHLENG,2010-06-13,2011-05-12,Male,42.0,2010-06-13,1,Truck,White,Scania,Victoria Island,Lagos,CVTP,0,1
7211,ID_LN60XO7,2010-07-16,2011-07-14,Female,39.0,2010-07-16,1,Saloon,Black,TOYOTA,Port Harcourt,Rivers,Car Classic,0,1
7224,ID_LOK35GM,2010-01-05,2011-01-04,Male,47.0,2010-01-05,1,JEEP,Black,TOYOTA,Victoria Island,Lagos,Car Classic,0,1
7226,ID_LOX0AIO,2010-12-10,2011-12-05,Male,44.0,2010-12-10,2,Saloon,Black,TOYOTA,Surulere,Lagos,Car Classic,0,1
7248,ID_LRRZD6R,2010-11-09,2011-11-08,Male,32.0,2010-11-09,1,Saloon,Grey,TOYOTA,GBAGADA,Benue,Car Classic,1,1
7249,ID_LRW72U1,2010-07-18,2011-07-17,Male,28.0,2010-07-18,1,Saloon,Black,TOYOTA,Ikeja,Lagos,Car Classic,0,1
7255,ID_LS83X8T,2010-06-07,2011-06-06,Female,39.0,2010-06-07,1,JEEP,Brown,Mercedes,Victoria Island,Lagos,Car Classic,0,0
7270,ID_LUYF1M0,2010-05-27,2011-04-04,Male,48.0,2010-05-27,3,JEEP,Black,TOYOTA,Victoria Island,Lagos,Car Classic,0,1
7280,ID_LVCQLG1,2010-11-28,2011-11-27,Female,22.0,2010-11-28,1,Truck,Green,Iveco,Victoria Island,Lagos,CVTP,0,0
7283,ID_LVHPNSF,2010-03-29,2011-01-03,Male,37.0,2010-03-29,1,Saloon,Black,Honda,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0,1
7286,ID_LVTQ9GP,2010-05-28,2011-05-27,Male,54.0,2010-05-28,1,Saloon,Black,Lexus,Ifo,Benue,Car Classic,0,1
7289,ID_LW0I762,2010-01-31,2011-01-30,Female,30.0,2010-01-31,2,JEEP,Green,TOYOTA,Enugu North,Enugu-North,Car Classic,0,0
7290,ID_LW204TI,2010-06-14,2011-06-13,Male,43.0,2010-06-14,1,Saloon,Grey,TOYOTA,Victoria Island,Lagos,Car Classic,1,1
7293,ID_LWO34OB,2010-11-19,2011-08-12,Male,42.0,2010-11-19,1,JEEP,Black,Kia,Obia/Akpor,Obia-Akpor,Car Classic,0,1
7304,ID_LYC4YN5,2010-02-19,2011-02-18,Female,40.0,2010-02-19,1,Saloon,Black,Kia,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0,1
7305,ID_LYI13W4,2010-12-20,2011-12-19,Male,58.0,2010-12-20,1,JEEP,Black,Honda,Abuja Municipal,Abuja-Municipal,Car Classic,0,1
7306,ID_LYIA8QV,2010-09-03,2011-09-02,Female,46.0,2010-09-03,1,Saloon,Black,TOYOTA,Lagos,Lagos,Car Classic,0,1
7316,ID_M0F227I,2010-06-06,2011-06-05,Male,42.0,2010-06-06,1,Saloon,Grey,TOYOTA,Lekki,Lagos,Car Classic,1,1
7317,ID_M0M0FAI,2010-07-01,2011-06-30,Male,37.0,2010-07-01,1,Saloon,Green,Honda,Ikeja,Lagos,Car Classic,0,0
7319,ID_M0TH573,2010-06-20,2011-06-19,Male,32.0,2010-06-20,1,Saloon,Black,TOYOTA,Lagos Mainland,Lagos,Car Classic,0,1
7327,ID_M21WMFF,2010-03-28,2011-03-27,Female,32.0,2010-03-28,1,Saloon,Black,TOYOTA,Owerri,Imo,Car Classic,0,1
7333,ID_M3BMMVS,2010-12-23,2011-02-21,Male,20.0,2010-12-23,4,JEEP,Black,Lexus,Victoria Island,Lagos,Customized Motor,0,1
7334,ID_M3ELR5B,2010-09-26,2011-09-25,Female,40.0,2010-09-26,2,Saloon,Black,Hyundai,Port Harcourt,Rivers,Car Classic,0,1
7339,ID_M3WJ0TX,2010-10-24,2011-10-23,Joint Gender,73.0,2010-10-24,1,Saloon,Grey,Hyundai,Lagos Mainland,Lagos,Car Classic,0,1
7341,ID_M46S0NJ,2010-11-06,2011-07-30,Female,31.0,2010-11-06,1,JEEP,White,Lexus,Ketu,Lagos,Car Classic,0,1
7351,ID_M5P56LV,2010-02-07,2011-02-06,Female,51.0,2010-02-07,2,Saloon,Black,TOYOTA,Anthony Village,Lagos,Car Classic,0,1
7356,ID_M5ZB1EA,2010-05-14,2011-05-13,Male,43.0,2010-05-14,1,Saloon,Black,TOYOTA,Victoria Island,Lagos,Car Classic,1,1
7359,ID_M687VQV,2010-08-28,2011-08-27,Male,44.0,2010-08-28,1,Saloon,Blue,Peugeot,Bauchi,Bauchi,Car Classic,1,0
7361,ID_M6KBLED,2010-01-07,2011-01-06,Male,65.0,2010-01-07,1,Saloon,Grey,TOYOTA,Ikeja,Lagos,Car Classic,0,1
7367,ID_M7PX1CX,2010-03-15,2011-03-13,Female,32.0,2010-03-15,1,Saloon,Black,TOYOTA,Abuja Municipal,Abuja-Municipal,Car Classic,0,1
7368,ID_M7QJPPO,2010-12-16,2011-12-15,Female,73.0,2010-12-16,2,JEEP,Black,TOYOTA,Amuwo-Odofin,Amuwo-Odofin,Customized Motor,0,1
7369,ID_M7VMWT3,2010-03-21,2011-03-04,Female,41.0,2010-03-21,1,JEEP,Black,Hyundai,Lagos Island,Lagos,Car Classic,0,1
7376,ID_M8GKC53,2010-12-17,2011-12-16,Male,37.0,2010-12-17,1,Saloon,Green,TOYOTA,Obia/Akpor,Obia-Akpor,Car Plus,0,0
7384,ID_M9VTI10,2010-07-26,2011-07-25,Male,36.0,2010-07-26,2,JEEP,Black,Range Rover,Ikeja,Lagos,Car Classic,0,1
7386,ID_MADX88I,2010-12-06,2011-12-01,Male,30.0,2010-12-06,1,Saloon,Wine,TOYOTA,RIVERS,Rivers,Car Classic,0,0
7389,ID_MASUSRQ,2010-08-21,2011-08-20,Male,67.0,2010-08-21,1,JEEP,Black,TOYOTA,Ikeja,Lagos,Car Classic,0,1
7396,ID_MBHUF6P,2010-07-04,2011-06-18,Male,29.0,2010-07-04,1,Saloon,Green,TOYOTA,Ajah,Lagos,Car Classic,0,0
